question,human_answers,chatgpt_answers,index,source
Suggest remedy for tumor in esophagusMy uncle has been diagnosed with a 7cm stomach tumour which has mets to the liver and lungs - it also looks like it may be in his oesophagus - no one is giving us a real idea on expected life expectancy - we just need an idea of what we are dealing with - he is already having trouble with swallowing and is having to cough up phleghm regularly.,"['Hi, dearI have gone through your question. I can understand your concern.He has esophagus cancer with liver and lung metastasis. It is stage 4 cancer. Surgery is not useful in this stage. So treatment options are chemotherapy and radiotherapy. But it will not cure the disease. It just works as palliative therapy. Despite of all treatment prognosis remains poor. Life expectancy is not good. Sorry to say but it is fact.Consult your oncologist and plan accordingly. Hope I have answered your question, if you have any doubts then contact me at bit.ly/Drsanghvihardik, I will be happy to answer you.Thanks for using health care magic.Wish you a very good health.']","[""I'm sorry to hear about your uncle's diagnosis. It's understandable that you would like to have a better understanding of his prognosis and treatment options.\n\nTreatment for a tumor in the esophagus typically depends on the type and stage of the cancer, as well as the overall health of the patient. Some options may include surgery to remove the tumor, chemotherapy to kill cancer cells, and radiation therapy to shrink the tumor. In some cases, a combination of these approaches may be recommended.\n\nIt's important to note that predicting life expectancy can be difficult, as every individual and their cancer is unique. It's important for your uncle to work closely with his healthcare team to determine the most appropriate treatment plan and to manage any symptoms he may be experiencing.\n\nIf you have any specific questions about your uncle's treatment or prognosis, I recommend speaking with his healthcare team for more information. They will be able to provide you with more detailed and personalized information based on your uncle's specific situation.""]",,medicine
"What causes severe upper back pain and burping?I had a sudden severe upper back pain (between the shoulder blades) that felt like a stabbing pain. After a few minutes, I burped and the pain was gone. Was this indigestion? I also have a herniated disc mid back, although i was sitting at the time. I am worried it could be my heart.","['hellowelcome to HCMthere are many causes of thee pain in the upper back,related to stomach,heart,lung,musculoskeletal,neurological.but from your history it seems to be indigestion.there is gas formation and distension of gut that causes pressure over the diaphragm and causes pain in shoulder.you can avoid hot spicy food,take small frequent feed.take ppi tab od.pancreatic enzyme syrup.also do an USG whole abdomen because it is associated with gb stone sometimes.consult your physician if recurrence.hope this is helpful.regards.']","['Severe upper back pain between the shoulder blades could be caused by a number of things, including indigestion, muscle strain or spasm, or a pinched nerve. Herniated discs in the mid back can also cause back pain. It is also possible that the pain could be related to other underlying medical conditions such as a heart attack, lung infection, or gallbladder disease.\n\nIf you are experiencing severe upper back pain, it is important to speak with a healthcare professional to determine the cause. They will be able to evaluate your symptoms and perform any necessary tests to determine the cause of your pain.\n\nIn the meantime, it is important to take care of yourself by getting plenty of rest, staying hydrated, and avoiding activities that may exacerbate your pain. If you are experiencing difficulty breathing or chest pain, you should seek emergency medical attention immediately as these symptoms could be a sign of a heart attack.']",,medicine
5 year old with hepatomegaly. Abdominal ultrasound done. Need help in reading the liver function testHave a five year old boy with mild hepatomagelly according to the Abdominal ultra sound scan that was done. but the liver functioning tests are as follows. Alkaline phosphate 113 iu/l Alanine transaminase 21iu/l Aspartate transaminase 38 iu/l Total bilirubin 3 mmol/l Direct bilirubin 0 mmol/l Gamma GT 13 iu/l Albumin 38 g/l,"['hi there,his LFT suggest that his ALKP are raised and there is no conjugated bilirubin with hepatomegaly and hypoprotenemia. There is derangement in his liver funtion which point to an in born error of metabolism occuring due to deficiency in certain liver enzyme. You need to get your son thoroughy investigated preferrably by a peciatrician trained for this purpose. The hepatomegaly is also due to this reason. Take care.']","[""It's important to note that liver function tests (LFTs) are just one aspect of evaluating liver health. They can provide important information about how well the liver is functioning, but they cannot provide a definitive diagnosis on their own. Other factors, such as the results of imaging tests, the presence of symptoms, and the patient's medical history, also need to be taken into consideration.\n\nWith that said, it's difficult to interpret the results of liver function tests without knowing the reference ranges for the specific laboratory that performed the tests. These ranges can vary slightly from lab to lab. It's also important to note that the normal values for LFTs can differ depending on the age and sex of the patient.\n\nHere is some general information about the LFTs that were performed on your child:\n\nAlkaline phosphatase (ALP): This enzyme is produced in the liver, bone, and small intestine. Elevated levels of ALP in the blood can indicate liver or bone disease.\n\nAlanine transaminase (ALT): This enzyme is found primarily in the liver. Elevated levels of ALT in the blood can indicate liver damage or disease.\n\nAspartate transaminase (AST): This enzyme is found in the liver, heart, muscle, and other organs. Elevated levels of AST in the blood can indicate liver damage or disease.\n\nTotal bilirubin: This is a substance produced when red blood cells break down. Elevated levels of total bilirubin in the blood can indicate liver or blood disorders.\n\nDirect bilirubin: This is a subtype of bilirubin that is produced when red blood cells break down. Elevated levels of direct bilirubin in the blood can indicate liver disease.\n\nGamma-glutamyltransferase (GGT): This enzyme is found in the liver, pancreas, and bile ducts. Elevated levels of GGT in the blood can indicate liver or bile duct disease.\n\nAlbumin: This is a protein produced by the liver. Low levels of albumin in the blood can indicate liver disease or malnutrition.\n\nIt's important to discuss these results with your child's healthcare provider, as they will be able to provide more specific information about what these results may mean in the context of your child's overall health and medical history.""]",,medicine
"Is diffuse bulge with minimal compression of the thecal sac with hypertrophy of the ligamenta flava a serious concern?in my mri diffuse bulge with minimal compression of the thecal sac with hypertrophy of the ligamenta flava and posterior articulating facets in levels L2-3 level ,L 3-4, L 4-5 and L1-i have back surgery in 2012 and neck sugery in 2013. what can be done?","['Hello dearWelcome to Health care magic family .I have evaluated your concern in depth .@ MRI report suggests moderate level lumbar spine compromise .@ As already operated in 2012  , if symptoms are not that severe , first opt    for medicines with physiotherapy component sincerely for minimum of 3    weeks period & further management guidelines according to the      response   of the same .Hope this will help you .Feel  free to ask any further questions .Thanks for evaluation of my answer .Regards .']","['A diffuse bulge with minimal compression of the thecal sac and hypertrophy of the ligamenta flava is a common finding on MRI and may not necessarily be a cause for concern. The thecal sac is a structure that surrounds and protects the spinal cord, and a diffuse bulge means that there is a broad, diffuse protrusion of the intervertebral disc into the spinal canal. This can sometimes cause pressure on the spinal cord or nerve roots, leading to pain or other symptoms. However, if the compression is minimal, it may not cause any significant symptoms.\n\nIt is important to consult with a medical professional, such as a spine specialist or neurologist, for a proper evaluation and treatment plan. They will consider the severity of the compression, as well as your specific symptoms and medical history, in order to determine the best course of action. This may include medications, physical therapy, or surgery, depending on the circumstances. It is also important to maintain good posture and engage in regular exercise and stretching to help manage any back or neck pain.']",,medicine
"What are the chances of conceiving based on the follicular study?I take follicular study in this month. Following my report. D9- rt. Ovary none, EM 4.9 , D11-rt.ovary 1.7× 1.7cm EM 6.4, D13 - rt. Ovary same. EM 8.9,D15- EM 9.8 ovary is rapsar..... It is the normal result? When is get pregent? That is the big problem or not? Plz tell my. Give me good way.",['Hi thanks for writing to health care magic.I have gone through your report.Your reports are absolutely normal.On day 15 your follicles ruptured is absolutely normal. Your endometrium thickness is also very good.If your partner s report normal then do intercourse in fertile period on alternate days have great chance to conceive.Have a healthy life...'],"['Follicular studies, also known as follicle tracking or ovulation monitoring, involve monitoring the growth and development of the ovarian follicles, which contain the eggs. The results of a follicular study can provide useful information about the timing of ovulation and the potential for pregnancy. However, it is important to note that there are many factors that can influence a person\'s fertility and their chances of getting pregnant, and a follicular study alone is not a reliable predictor of pregnancy.\n\nThere are a few things that can be gleaned from the information you provided about your follicular study. It appears that you have one functioning ovary, as there is no mention of a left ovary. On days 9, 11, 13, and 15 of your cycle, the size of the follicles in your right ovary increased, with the largest follicle measuring 9.8mm on day 15. This suggests that ovulation may have occurred around this time or shortly thereafter.\n\nIt is also worth noting that the size of the follicles and the timing of ovulation can vary from cycle to cycle, and what is considered ""normal"" can vary from person to person. In general, a follicle should reach a mature size of around 18-30mm before ovulation occurs.\n\nTo increase your chances of getting pregnant, it is important to have regular, unprotected sex around the time of ovulation. You may also want to consider speaking with a healthcare provider or a fertility specialist to discuss any potential fertility issues and receive guidance on how to increase your chances of getting pregnant.']",,medicine
"Suggest treatments for pain in joints and depressionFor the last week or so, every joint and bone in my body from the top of my head to the tip of my toes has been hurting. No cold or anything other than an old injury I have been living with for more than twenty years, my back. I have no energy and haven t slept for over two days. I am bipolar and manic depressive.",['bipolar and maniac depression medications cause all your symptoms u should check for withdrawal effect or for any late changes in dosagealso weight increase could cause similar effect when you are on those medications Good Luck'],"[""I'm sorry to hear that you're experiencing pain in your joints and feeling depressed. It's important to speak with a medical professional about your symptoms and concerns. They will be able to recommend treatment options based on the specific causes of your joint pain and your overall health. In the meantime, there are some things you can try to help manage your symptoms:\n\nGet enough rest: Try to get a good night's sleep, as this can help reduce fatigue and improve your mood.\n\nExercise regularly: Regular physical activity can help reduce pain, improve your mood, and increase energy levels.\n\nEat a healthy diet: A healthy diet that includes fruits, vegetables, and lean proteins can help improve your overall health and reduce inflammation.\n\nApply heat or ice: Applying heat or ice to the affected joints can help reduce pain and swelling.\n\nTry over-the-counter pain medication: Non-steroidal anti-inflammatory drugs (NSAIDs) such as ibuprofen or naproxen can help reduce pain and inflammation.\n\nIf your depression is causing you to feel overwhelmed, it's important to seek professional help. Your healthcare provider can recommend medications and therapy options to help manage your depression.""]",,medicine
"Could back problems and narrowing of spinal canal be due to spinal meningitis?hello there, I am Beverly from Indiana,  My husband had spinal menigitis as a child.  And in the past several years his health has went down hill.  He has several back problems and narrowing of the spinal canal.  Could these problems becaused from the spinal meningitis.","['HIWell come to HCMI really appreciate your concern, spinal meningitis is the infection and inflammatory disease that can not cause the condition like narrowing of spinal cord, you have not mentioned the present clinical symptoms here else something better could have been thought,  hope this information helps.']","['It is possible that spinal meningitis could cause back problems and narrowing of the spinal canal. Spinal meningitis is an infection of the membranes that surround the brain and spinal cord. It can be caused by a variety of pathogens, including bacteria and viruses. Spinal meningitis can lead to inflammation and swelling of the membranes, which can put pressure on the spinal cord and nerves. This can cause a variety of symptoms, including back pain, weakness, and numbness. In severe cases, spinal meningitis can lead to complications such as scarring or inflammation of the spinal cord, which can cause permanent damage and lead to long-term disabilities.\n\nIf your husband has back problems and narrowing of the spinal canal, it is important that he sees a healthcare professional for proper diagnosis and treatment. It is possible that his back problems and spinal canal narrowing may be related to his spinal meningitis, but it is also possible that they could be caused by other factors. A healthcare professional will be able to perform a thorough evaluation and determine the cause of his symptoms, and recommend appropriate treatment.']",,medicine
"What causes watery stools while being on dumex dupro?Hi, my son drinking dumex dupro step 2 now. But recently he s stools are watery & sometimes after each feed he will pass motion & sometimes when he farted, the stools will comes out watery. Is he allergic to the milk? Or is it normal as he s started his solid food?","[""Hi...in this age the kids keep whatever they find in the mouth and it is normal phenomenon to get diarrhea like this and it is most probably viral in origin. Once it starts it will take 5-7 days to completely get better. Unless the kid's having low urine output or very dull or excessively sleepy or blood in motion or green bilious vomiting...you need not worry. Regards - Dr. Sumanth""]","[""It is possible that your son may be experiencing diarrhea while taking Dumex Dupro Step 2. There are several potential causes of diarrhea in infants, including food allergies or intolerances, infections, and changes in diet. It is also possible that the watery stools may be a result of your son's transition to solid foods.\n\nIf you are concerned about your son's symptoms, it is important to speak with a healthcare provider for proper diagnosis and treatment. They will be able to assess your son's health and determine the cause of the diarrhea, as well as recommend the appropriate course of action. In the meantime, it may be helpful to keep track of your son's diet and any other symptoms he may be experiencing, as this information can help the healthcare provider determine the cause of the diarrhea.""]",,medicine
"How to cure ankle pain?My ankle hurts. There is no bruising, swollen slightly. I have a bad back an the area that my back hurts is the same side. I have my ankle in a support for 4 days now an it still aches. Try to rest it but have to do core exercises because of my back. I have not sprained it but it feels like I have","['Hi, If I were your treating Doctor for this case of severe pain in the ankle i would suggest you to follow the following precautions,  firstly try to put 6 inch crepe bandage for ankle which subsides your swelling and restricts major movement which will be sufficient for your ankle ligaments to get healed if present. use analgesica with antacids combinations that will be sufficient.      Hope this answers your question. If you have additional questions or follow up questions then please do not hesitate in writing to us. I will be happy to answer your questions. Wishing you good health.']","[""There are several steps you can take to help alleviate ankle pain:\n\nRest and elevate the affected ankle: It's important to give your ankle time to heal, so try to avoid putting weight on it as much as possible. When you're sitting or lying down, elevate your ankle on a pillow to help reduce swelling.\n\nIce the affected area: Applying an ice pack to your ankle for 15-20 minutes every few hours can help reduce swelling and numb the pain.\n\nCompress the affected area: Wrapping your ankle with a compression bandage or using an ankle support can help reduce swelling and provide support to the area.\n\nTake over-the-counter pain medication: Nonsteroidal anti-inflammatory drugs (NSAIDs) like ibuprofen or naproxen can help reduce swelling and alleviate pain.\n\nStretch and strengthen your ankle: Gentle stretches and exercises can help improve flexibility and strength in your ankle, which can help prevent future injuries.\n\nIf your ankle pain persists or becomes more severe, you should consider seeking medical attention. It's also a good idea to see a doctor if you have any concerns about your back pain."", '']",,medicine
"Is it normal for the pain to increase after having Cortisone injection?My doctor injected cortozone into my ribcage under my left brest for cronic pain I ve had for over a year, I ve got them in the intercostal nerves in the back but never from the front, the pain seems to have increased by day two and breathing is hard. Is this normal? When he did the injection I felt a burst like a balloon popping it hurt and scared me he said it was the muscle jumping?",['Dear patient After cortisone injection pain may persist  gldor one or 2 days but not more than that. This us due  to injection site pain. If it persists after 2 days local site infection should be suspected. You should consult your treating  doctor asap.  Meanwhile  ice packs application  and tab diclofenac 50mg twice a day will help in pain relief.'],"[""It is not uncommon for pain to increase after a cortisone injection. This can occur for a variety of reasons. For example, the injection may cause inflammation at the injection site, which can lead to increased pain. Additionally, the injection may temporarily increase blood flow to the area, which can cause swelling and discomfort. It is also possible that the pain is unrelated to the cortisone injection and is simply a coincidence.\n\nIf you are experiencing increased pain or difficulty breathing after the cortisone injection, it is important to contact your doctor. They can assess your symptoms and determine the cause of the pain. They may recommend medications or other treatments to help manage the pain. It is also important to follow your doctor's instructions for post-injection care, such as avoiding strenuous activity or applying ice to the injection site.""]",,medicine
What causes tightness around my chest while eating?hiI recently started having tightness around chest while eating food. Yesterday night I felt so full after my regular dinner and tightness in my chest . Let me know what is wrong. Does consuming hot food make this happen? I have thyroid and is the only medication I take. .25mg capsules.,"[""Thanks for your question on Health Care Magic. I can understand your concern. In my opinion, you are mostly having GERD (gastroesophageal reflux disease). It is due to laxity of gastroesophageal sphincter. Because of this the acid of the stomach tends to come up in the esophagus and cause the symptoms of Central chest pain, fullness, chest pressure etc. So better to follow these steps. 1. Avoid stress and tension. 2. Avoid large meals, instead take frequent small meals. Avoid hot and spicy food. Avoid junk food. 3. Start proton pump inhibitors and prokinetic drugs. 4. Go for walk after meals. 5. Keep 2-3 pillows under head in the bed to prevent reflux. 6. Loose weight if you are obese. 7. Quit smoking and alcohol if you have these habits. Don't worry, you will be alright. Hope I have solved your query. Wish you good health. Thanks.""]","['It is possible that the tightness you are experiencing around your chest while eating could be due to a condition called esophageal spasm. Esophageal spasm is a disorder of the muscle contractions in the esophagus, the tube that carries food from the mouth to the stomach. It can cause symptoms such as chest pain, difficulty swallowing, and the feeling of food getting stuck in the throat.\n\nThere are several possible causes of esophageal spasm, including acid reflux, a hiatal hernia, and abnormal nerve or muscle function in the esophagus. Consuming hot food may exacerbate the symptoms of esophageal spasm, but it is not the sole cause of the condition.\n\nIt is important to discuss your symptoms with a medical professional to determine the cause and appropriate treatment. They may recommend medications or other treatments to help alleviate the symptoms of esophageal spasm. In the meantime, it may be helpful to avoid hot or spicy foods, as well as eating large meals, as these can contribute to the symptoms of the condition.']",,medicine
"Q. I have tooth pain with swollen gums for the past 3 days. Please suggest solution.Hello doctor,I have been experiencing tooth pain and mild gum swelling for the last two to three days. It is paining a lot and I am unable to eat food too. Kindly suggest remedies. I am consuming Rajnigandha (pan masala) for the last two years, have reduced the consumption since pain is there.","['Hello. I suggest some medicines, but please stop the consumption of Rajnigandha immediately. Do not take spicy and hot food. Take tablet Augmentin 625 (Amoxicillin and Clavulanic acid) twice daily, Zerodol SP (Aceclofenac, Paracetamol, and Serratiopeptidase) twice daily, Hexigel ointment (for topical application) all medicine for three days. If you have any drug allergy history or allergy please consult your physician before taking medicine. Follow up after three days.']","['Tooth pain and swollen gums can be caused by a variety of factors, including tooth decay, gum disease, abscesses, and mouth infections. It is important to see a dental professional as soon as possible to determine the cause of your symptoms and receive appropriate treatment. In the meantime, you can try some home remedies to help manage your pain:\n\nRinse your mouth with warm salt water to reduce swelling and kill bacteria.\n\nTake over-the-counter pain medication, such as acetaminophen or ibuprofen, to help relieve the pain.\n\nAvoid eating or drinking anything that is very hot or cold, as this can worsen the pain.\n\nAvoid eating hard, crunchy, or chewy foods that may irritate your gums.\n\nApply a cold compress to the outside of your cheek to help reduce swelling.\n\nAvoid tobacco and alcohol, as these can irritate your gums and worsen the pain.\n\nIt is also important to practice good oral hygiene, including brushing and flossing regularly, to help prevent future dental problems. If your symptoms persist or worsen, you should see a dental professional as soon as possible.']",,medicine
"How to get rid of pigmentation due to laser treatment ?Hi Doctor , My name is Amit and i have developed pigmentation on both my cheeks . I developed this pigmenation bcoz of laser treatment that i took from kayaskin for beard shaping.it has been there for almost 2 years now and really bothers me...request you to kindly adise the treatment for the sme","['hello and welcome to healthcaremagic ,apply vitamin e oil ,take green vegetablesand take vitamin e tablets ,we cannot prescribe full medication as that would beunethical ,so would suggest you to have consultation with dermatologist.take care']","[""I'm sorry, but I am an AI language model and cannot provide medical advice or treatment recommendations. I recommend that you speak with a dermatologist or a healthcare professional about your pigmentation issue. They will be able to evaluate your specific case and determine the most appropriate treatment plan for you.\n\nThere are several treatment options that may be effective in reducing pigmentation caused by laser treatment. These may include topical lightening agents, chemical peels, microdermabrasion, or laser treatments specifically designed to address hyperpigmentation.\n\nIn the meantime, it may be helpful to avoid exposure to the sun, as UV radiation can worsen hyperpigmentation. You should also use a sunscreen with an SPF of 30 or higher to protect your skin from further damage.\n\nIt's important to note that treatment for hyperpigmentation may not produce immediate results, and it may take several weeks or months to see improvement. Patience and consistency are key.\n\nAgain, I recommend that you speak with a dermatologist or other healthcare professional to determine the most appropriate treatment plan for your specific case.""]",,medicine
"Is it bad for me to pop a abscessed tooth myself?Is it bad for me to pop a absessed tooth myself. I have to go to work in a hr.it feels so big and hard like I could just pop it but its next to a rotted out wisdom tooth that almost to me looks like a dry socket and the two teeth in front of it are the same and lower jaw. And also starting to feel sick to my stomach, what do I do??","['hello thanks for the consult at hcm..plz dont meddle with ur teeth,,take a course of antibiotics and analgesics,, do iopar and consult a dentist to remove ur infected teeth..do salt water garlge thrice daily,,, hope it helps,,tc']","['It is not a good idea to try to pop an abscessed tooth yourself. An abscessed tooth is a serious dental problem that needs to be treated by a dentist as soon as possible. The abscess, or pocket of pus, can be caused by a bacterial infection and can spread to other parts of your body if left untreated.\n\nIf you are experiencing pain and discomfort from an abscessed tooth, it is important to see a dentist as soon as possible. In the meantime, you can try to manage the pain by rinsing your mouth with warm salt water, taking over-the-counter pain medication, and applying a cold compress to your face to reduce swelling.\n\nIf you are feeling sick to your stomach and have other symptoms such as fever or difficulty swallowing, it is important to seek medical attention right away. Do not wait until your scheduled dental appointment to seek treatment.']",,medicine
Can hair loss be controlled by Mintop 10?Hello i am from srinagar i have baldness on the front side of my head rest of the hair are good. Last time i was with a friend who was to  consult a dermatalogist who is a rank of professor at present time at i verbarlly request him that shall i use hair treatment he suggest me to use mintop 10.  What is ur advice on this,"[""Hi Dear,Understanding your concern. As per your query you have symptoms of hair loss which can occur due to many reasons like genetic factor, improper hygiene, fungal infection and hormonal changes. Need not to worry. Mintop 10 is good to use to get proper results and don't stop in between. Apply Indian gooseberries. You should consult dermatologist once for proper examination. Doctor may order skin patch test, blood test, allergic test and physical examination and may prescribe supplements like Omega-3 minoxidil spray, and Vitamin E.Hope your concern has been resolved.Best Wishes,Dr. Harry Maheshwari""]","['Mintop 10 is a topical solution that contains the active ingredient minoxidil, which is a medication that is used to treat hair loss. It is typically used to treat male-pattern baldness and female-pattern hair loss, but it may also be effective in treating other forms of hair loss.\n\nThe effectiveness of Mintop 10 in treating hair loss will depend on the cause of the hair loss and the individual patient. Some people may see a significant improvement in their hair growth after using Mintop 10, while others may not experience any benefit. It is important to speak with a dermatologist or other healthcare professional to determine the cause of your hair loss and the best treatment approach.\n\nIt is also worth noting that Mintop 10 is not a cure for hair loss, and treatment with this medication will need to be continued in order to maintain any benefits that are achieved. If you stop using Mintop 10, it is likely that your hair loss will return to its previous state.']",,medicine
"Why is a 26months old pronunciation difficult to understand?My son is 26months old,he understands everything u tell him to do,I do send him to get me water,phone,my dress,my bag etc and he delivers perfectely well,but the problem is I do not understand a word when he communicates to me.He cannot pronounce words not even mummy or daddy.What do I do? I am so worried","[""Hi....looks like he's having moderate language delay.Suggestions - 1. He needs hearing evaluation.2. We need to check if he has Tongue tie.3. If he's watching TV or video games or tablet more than 1 hour per day, it needs to be restricted.4. Encourage him to sing rhymes starting from words by continuous positive stimulation.5. GE needs complete evaluation by a developmental pediatrician.Regards - Do. Sumanth""]","[""It is normal for children at the age of 26 months to have difficulty with pronunciation, as they are still developing their language skills. Children's ability to understand and use language increases rapidly during the first few years of life, but it takes time for them to develop the fine motor control needed to produce speech sounds correctly.\n\nThere are a few things you can do to support your child's language development:\n\nTalk to your child frequently: Children learn language by listening to and interacting with others, so it is important to engage with your child and provide a rich language environment.\n\nEncourage your child to express themselves: Encourage your child to express their thoughts and feelings, even if their pronunciation is not perfect.\n\nRead books with your child: Reading with your child can help expose them to new vocabulary and language structures, and can also be a fun and enjoyable activity for both of you.\n\nPlay with your child: Play can be a great way for children to learn and practice language skills. You can play with dolls, toys, or games that involve taking turns, following directions, and using words to communicate.\n\nIt is also important to keep in mind that every child is different and develops at their own pace. If you have concerns about your child's language development, it may be helpful to speak with your child's doctor or a speech-language pathologist.""]",,medicine
"Suggest treatment for bump on my kids foreheadOur 18 month old fell off the toddler bed today and got a good sized bump on her forehead. Not much later today, her left eye started looking really glossy and red. Not sure if it is coincidence or if we should be concerned. Please advise. Thanks!","['Hi and welcome to HCM. this is normal, you just need to ice it and it will pass in seveeral days. WIsh you good health. Regards']","[""I'm sorry to hear about your child's fall. It's always a good idea to be cautious when a child sustains a bump on the head, especially if there are any changes in their appearance or behavior. It's possible that the redness in your child's eye is unrelated to the bump on their forehead, but it's always best to be safe and check with a healthcare provider.\n\nIn the meantime, you can try applying a cold compress to the bump on your child's forehead to help reduce any swelling. Make sure to wrap the cold pack in a towel or cloth before applying it to your child's skin, as applying it directly could cause an ice burn. You can also try gently massaging the bump to help reduce swelling.\n\nIf your child exhibits any of the following symptoms, you should seek medical attention right away:\n\nLoss of consciousness or a period of unresponsiveness\nPersistent vomiting\nDifficulty walking or maintaining balance\nSlurred speech or other changes in speech patterns\nSevere headache that does not go away\nChanges in behavior, such as unusual irritability or drowsiness\nIt's always a good idea to err on the side of caution when it comes to head injuries, so if you have any concerns about your child's condition, it's best to consult a healthcare provider. They will be able to assess your child's condition and provide appropriate treatment if necessary.""]",,medicine
Can Truvada prevent STD after anal intercourse?Is truvada used specifically for men engaged in anal intercourse only or is it used as a sort of preventative med helping prevent infection from sucking infected men orally?  Does it insure that there will  be no STD caught as a result of taking this drug?,"['HiThanks for posting your query on HCMI have read and understood your concernTruvada contains a combination of emtricitabine and tenofovir that may be used in the treat HIV though it does not cure the infection.Truvada may also be used together with safer-sex practices to reduce the risk of becoming infected with HIV. You must be HIV-negative and an adult to use Truvada for this purpose. It may not provide protection from disease in every person.So, this drug does not ensure that there is no STD.It only protects against HIV and some viral infections but not at 100%.Also, it may not offer protection against STDs of bacteria origin.Hope this will help.You may write back if more concernsBest regardsDr Mbuomboh']","['Truvada is a prescription medication that is used to help prevent HIV infection in people who are at high risk of contracting the virus. It is not specifically intended to prevent sexually transmitted infections (STIs) other than HIV.\n\nTruvada is taken as a daily oral pill and is used in combination with other HIV prevention strategies, such as condom use, to reduce the risk of HIV transmission. It is approved for use in both men and women, and can be used by people who engage in anal or vaginal intercourse, as well as by people who may be at risk of HIV transmission through oral sex.\n\nWhile Truvada can help reduce the risk of HIV transmission, it is not a guarantee that you will not contract HIV or other STIs. It is important to continue using condoms and practicing safe sex in order to further reduce the risk of STI transmission. It is also important to get tested regularly for STIs and to inform your sexual partners of your HIV status.']",,medicine
What causes pain in upper and left side of abdomen?Hello I m having severe pain in the upper part & left side of my abdomen it also feels raw in the upper part I m having a lot of diaherra too... I ve been to the ER 3 times this week for this but no answers the dr prescribed me something call dilaudid for pain & methocarbanol please help I m in a lot pain & feeling hopeless to getting the help I need with something that hurts me so bad... I NEED SOME HELP ASAP,"['Acute pancreatitis is an inflammation of your pancreas due in large part to an over-excessive consumption of alcohol. Using certain medication excessively or even traumatic injuries can be the culprits for acute pancreatitis as well. Symptoms include abdominal pain, first and foremost, as well as vomiting, diarrhea, fever and nausea so please tell me any history of alcohol consumption. any investigation done any imaging done']","[""I'm sorry to hear that you are experiencing such severe pain and discomfort. It's important to seek medical attention if you are experiencing abdominal pain, especially if it is persistent or severe. The causes of abdominal pain can vary and can be difficult to diagnose without proper medical evaluation.\n\nThere are many possible causes of abdominal pain on the upper left side, including:\n\nGastrointestinal issues: Ulcers, gastritis, food poisoning, and inflammatory bowel disease (such as Crohn's disease or ulcerative colitis) can cause abdominal pain on the upper left side.\n\nPancreatitis: Inflammation of the pancreas can cause abdominal pain on the upper left side.\n\nKidney problems: Kidney stones or a kidney infection can cause pain on the upper left side of the abdomen.\n\nGynecological issues: Endometriosis, ovarian cysts, and uterine fibroids can cause abdominal pain on the upper left side.\n\nIt is important to consult with a healthcare professional to determine the cause of your abdominal pain and to receive appropriate treatment. In the meantime, it is important to stay hydrated and to avoid eating solid food until you are feeling better. If the pain is severe or if you have any other concerns, it is important to contact your healthcare provider or seek medical attention as soon as possible.""]",,medicine
"What causes swollen occipital lymph nodes?Hi i firstly started with swollen occipital lymph nodes now have noticed swollen nodes behind my ears there not big jst about 1cm there tender to touch Ive just come dwn with a really bad sinus infection blocked nose, cough etc are these linked just worries regarding cancer?? Thanks","['Hi, thanks for sharing your health concerns with HCM!Well, you could have mentioned your age and sex; However, If I were your treating Doctor for this case of this tender occipital lymphadenopathy, I would come up with three possibilities, these include: 1.\xa0\xa0\xa0\xa0\xa0lymph nodes due to some chronic inflammatory but simple conditions like dandruff, ear/nose/throat infection, common cold etc. not to worry and no therapy required!2.\xa0\xa0\xa0\xa0\xa0The second possibility is of tuberculosis or chronic viral infection. these are potentially curable conditions!3.\xa0\xa0\xa0\xa0\xa0The last possibility is of malignancy like lymphoma or metastatic cancer from throat, tongue or thyroid!I suggest you to go for an FNAC or biopsy test from the lymph node  for confirmation and to relieve your concerns!Hope this answers your question. If you have additional questions or follow up questions then please do not hesitate in writing to us. I will be happy to answer your questions. Wishing you good health.']","['Swollen occipital lymph nodes can be caused by a variety of factors, including infection, inflammation, and injury. A sinus infection can cause swelling in the occipital lymph nodes, as can other types of infections. Inflammatory conditions such as allergies or dermatitis can also cause swelling in the occipital lymph nodes. In some cases, swollen occipital lymph nodes may be a result of injury or trauma to the head or neck.\n\nIt is important to note that swollen lymph nodes are a common symptom of many different conditions, and they do not necessarily indicate cancer. However, if you are concerned about the possibility of cancer, it is important to speak with a healthcare provider. They can evaluate your symptoms and determine the cause of the swelling and recommend appropriate treatment.']",,medicine
"What causes locked knees?well my sons legs at the knees bend really far back, when he walk he seems to be ok but when he stands still he gets stuck it that position and he can t move and when i unbend his legs he cries out in pain, is this something really serious? what should i do?","['Hello, It could be due to trapped foreign fragments in the joint cavity. If symptoms persist better to consult an orthopedic and plan for an MRI scan. Hope I have answered your query. Let me know if I can assist you further. Regards,Dr. Shinas Hussain, General & Family Physician']","[""It sounds like your son may have a condition called genu recurvatum, which is characterized by an abnormal backward bending of the knees. This can be caused by a number of factors, including muscle imbalances, ligament laxity, or structural abnormalities in the bones of the legs. In some cases, genu recurvatum may be present at birth, while in others it may develop over time due to underlying medical conditions or injuries.\n\nIf your son is experiencing pain when his knees are bent backwards, it is important to have him evaluated by a healthcare provider. They will be able to determine the cause of the condition and recommend appropriate treatment, which may include physical therapy, exercises to strengthen the muscles around the knees, or possibly surgery. In the meantime, it may be helpful to try to keep your son's legs straight as much as possible and avoid activities that cause his knees to bend backwards, as this can exacerbate the condition and cause additional discomfort.""]",,medicine
